contrast,threshold_1,threshold_2,jaccard_top50
H2O2_Stress,p < 0.05,p < 0.01,0.8181818181818182
H2O2_Stress,p < 0.05,FDR < 0.1,0.8867924528301887
H2O2_Stress,p < 0.05,FDR < 0.05,0.8181818181818182
H2O2_Stress,p < 0.05,Top 1000,0.0
H2O2_Stress,p < 0.05,Top 2000,0.0
H2O2_Stress,p < 0.05,Top 3000,0.0
H2O2_Stress,p < 0.01,FDR < 0.1,0.9230769230769231
H2O2_Stress,p < 0.01,FDR < 0.05,1.0
H2O2_Stress,p < 0.01,Top 1000,0.0
H2O2_Stress,p < 0.01,Top 2000,0.0
H2O2_Stress,p < 0.01,Top 3000,0.0
H2O2_Stress,FDR < 0.1,FDR < 0.05,0.9230769230769231
H2O2_Stress,FDR < 0.1,Top 1000,0.0
H2O2_Stress,FDR < 0.1,Top 2000,0.0
H2O2_Stress,FDR < 0.1,Top 3000,0.0
H2O2_Stress,FDR < 0.05,Top 1000,0.0
H2O2_Stress,FDR < 0.05,Top 2000,0.0
H2O2_Stress,FDR < 0.05,Top 3000,0.0
H2O2_Stress,Top 1000,Top 2000,0.03296703296703297
H2O2_Stress,Top 1000,Top 3000,0.043010752688172046
H2O2_Stress,Top 2000,Top 3000,0.10227272727272728
PRG4_Baseline,p < 0.05,p < 0.01,0.7450980392156863
PRG4_Baseline,p < 0.05,FDR < 0.1,0.7959183673469388
PRG4_Baseline,p < 0.05,FDR < 0.05,0.7254901960784313
PRG4_Baseline,p < 0.05,Top 1000,0.1643835616438356
PRG4_Baseline,p < 0.05,Top 2000,0.2361111111111111
PRG4_Baseline,p < 0.05,Top 3000,0.39344262295081966
PRG4_Baseline,p < 0.01,FDR < 0.1,0.8541666666666666
PRG4_Baseline,p < 0.01,FDR < 0.05,0.9777777777777777
PRG4_Baseline,p < 0.01,Top 1000,0.11688311688311688
PRG4_Baseline,p < 0.01,Top 2000,0.25
PRG4_Baseline,p < 0.01,Top 3000,0.3870967741935484
PRG4_Baseline,FDR < 0.1,FDR < 0.05,0.8333333333333334
PRG4_Baseline,FDR < 0.1,Top 1000,0.1038961038961039
PRG4_Baseline,FDR < 0.1,Top 2000,0.2191780821917808
PRG4_Baseline,FDR < 0.1,Top 3000,0.3709677419354839
PRG4_Baseline,FDR < 0.05,Top 1000,0.11842105263157894
PRG4_Baseline,FDR < 0.05,Top 2000,0.2535211267605634
PRG4_Baseline,FDR < 0.05,Top 3000,0.39344262295081966
PRG4_Baseline,Top 1000,Top 2000,0.3230769230769231
PRG4_Baseline,Top 1000,Top 3000,0.20588235294117646
PRG4_Baseline,Top 2000,Top 3000,0.4576271186440678
PRG4_Rescue,p < 0.05,p < 0.01,0.8367346938775511
PRG4_Rescue,p < 0.05,FDR < 0.1,0.8958333333333334
PRG4_Rescue,p < 0.05,FDR < 0.05,0.8367346938775511
PRG4_Rescue,p < 0.05,Top 1000,0.04819277108433735
PRG4_Rescue,p < 0.05,Top 2000,0.16666666666666666
PRG4_Rescue,p < 0.05,Top 3000,0.24285714285714285
PRG4_Rescue,p < 0.01,FDR < 0.1,0.7843137254901961
PRG4_Rescue,p < 0.01,FDR < 0.05,0.9565217391304348
PRG4_Rescue,p < 0.01,Top 1000,0.03571428571428571
PRG4_Rescue,p < 0.01,Top 2000,0.16666666666666666
PRG4_Rescue,p < 0.01,Top 3000,0.27941176470588236
PRG4_Rescue,FDR < 0.1,FDR < 0.05,0.82
PRG4_Rescue,FDR < 0.1,Top 1000,0.047619047619047616
PRG4_Rescue,FDR < 0.1,Top 2000,0.1643835616438356
PRG4_Rescue,FDR < 0.1,Top 3000,0.23943661971830985
PRG4_Rescue,FDR < 0.05,Top 1000,0.03571428571428571
PRG4_Rescue,FDR < 0.05,Top 2000,0.16666666666666666
PRG4_Rescue,FDR < 0.05,Top 3000,0.27941176470588236
PRG4_Rescue,Top 1000,Top 2000,0.19117647058823528
PRG4_Rescue,Top 1000,Top 3000,0.13513513513513514
PRG4_Rescue,Top 2000,Top 3000,0.4727272727272727
